;month;day;hour;minute;avg_generation;ano_1
121;1;6;1;0;-0.650685362;-0.650685362
122;1;6;2;0;-0.650685362;-0.650685362
123;1;6;3;0;-0.650685362;-0.650685362
124;1;6;4;0;-0.650685362;-0.650685362
125;1;6;5;0;-0.650685362;-0.650685362
126;1;6;6;0;115.6096179;115.6096179
127;1;6;7;0;451.5372326;451.5372326
128;1;6;8;0;576.8054613;576.8054613
129;1;6;9;0;576.8054613;576.8054613
130;1;6;10;0;576.8054613;576.8054613
131;1;6;11;0;515.1823945;515.1823945
132;1;6;12;0;543.3844085;543.3844085
133;1;6;13;0;493.5437172;493.5437172
134;1;6;14;0;373.0765523;373.0765523
135;1;6;15;0;407.4860595;407.4860595
136;1;6;16;0;395.7545187;395.7545187
137;1;6;17;0;112.971857;112.971857
138;1;6;18;0;20.57961906;20.57961906
139;1;6;19;0;-0.650685362;-0.650685362
140;1;6;20;0;-0.650685362;-0.650685362
141;1;6;21;0;-0.650685362;-0.650685362
142;1;6;22;0;-0.650685362;-0.650685362
143;1;6;23;0;-0.650685362;-0.650685362
144;1;7;0;0;-0.650685362;-0.650685362
145;1;7;1;0;-0.650685362;-0.650685362
146;1;7;2;0;-0.650685362;-0.650685362
147;1;7;3;0;-0.650685362;-0.650685362
148;1;7;4;0;-0.650685362;-0.650685362
149;1;7;5;0;-0.650685362;-0.650685362
150;1;7;6;0;44.47253702;44.47253702
151;1;7;7;0;67.97741605;67.97741605
152;1;7;8;0;241.2449869;241.2449869
153;1;7;9;0;481.3151252;481.3151252
154;1;7;10;0;507.1787386;507.1787386
155;1;7;11;0;533.7992257;533.7992257
156;1;7;12;0;548.5582608;548.5582608
157;1;7;13;0;564.0515764;564.0515764
158;1;7;14;0;448.1990811;448.1990811
159;1;7;15;0;66.72349113;66.72349113
160;1;7;16;0;24.39787691;24.39787691
161;1;7;17;0;35.78148176;35.78148176
162;1;7;18;0;10.01332473;10.01332473
163;1;7;19;0;-0.650685362;-0.650685362
164;1;7;20;0;-0.650685362;-0.650685362
165;1;7;21;0;-0.650685362;-0.650685362
166;1;7;22;0;-0.650685362;-0.650685362
167;1;7;23;0;-0.650685362;-0.650685362
168;1;8;0;0;-0.650685362;-0.650685362
169;1;8;1;0;-0.650685362;-0.650685362
170;1;8;2;0;-0.650685362;-0.650685362
171;1;8;3;0;-0.650685362;-0.650685362
172;1;8;4;0;-0.650685362;-0.650685362
173;1;8;5;0;-0.650685362;-0.650685362
174;1;8;6;0;43.61964214;43.61964214
175;1;8;7;0;82.62913331;82.62913331
176;1;8;8;0;172.63496;172.63496
177;1;8;9;0;195.8890541;195.8890541
178;1;8;10;0;186.5015622;186.5015622
179;1;8;11;0;441.2742525;441.2742525
180;1;8;12;0;576.8054613;576.8054613
181;1;8;13;0;576.8054613;576.8054613
182;1;8;14;0;535.2338965;535.2338965
183;1;8;15;0;531.986118;531.986118
184;1;8;16;0;448.5379797;448.5379797
185;1;8;17;0;251.2820345;251.2820345
186;1;8;18;0;25.81673249;25.81673249
187;1;8;19;0;-0.650685362;-0.650685362
188;1;8;20;0;-0.650685362;-0.650685362
189;1;8;21;0;-0.650685362;-0.650685362
190;1;8;22;0;-0.650685362;-0.650685362
191;1;8;23;0;-0.650685362;-0.650685362
192;1;9;0;0;-0.650685362;-0.650685362
193;1;9;1;0;-0.650685362;-0.650685362
194;1;9;2;0;-0.650685362;-0.650685362
195;1;9;3;0;-0.650685362;-0.650685362
196;1;9;4;0;-0.650685362;-0.650685362
197;1;9;5;0;-0.650685362;-0.650685362
198;1;9;6;0;117.6994928;117.6994928
199;1;9;7;0;390.6597427;390.6597427
200;1;9;8;0;399.2790644;399.2790644
201;1;9;9;0;373.7035148;373.7035148
202;1;9;10;0;492.6908224;492.6908224
203;1;9;11;0;421.9683274;421.9683274
204;1;9;12;0;461.7550261;461.7550261
205;1;9;13;0;544.4914773;544.4914773
206;1;9;14;0;385.3729242;385.3729242
207;1;9;15;0;125.1948007;125.1948007
208;1;9;16;0;62.02409685;62.02409685
209;1;9;17;0;118.5693326;118.5693326
210;1;9;18;0;73.52405689;73.52405689
211;1;9;19;0;-0.650685362;-0.650685362
212;1;9;20;0;-0.650685362;-0.650685362
213;1;9;21;0;-0.650685362;-0.650685362
214;1;9;22;0;-0.650685362;-0.650685362
215;1;9;23;0;-0.650685362;-0.650685362
216;1;10;0;0;-0.650685362;-0.650685362
217;1;10;1;0;-0.650685362;-0.650685362
218;1;10;2;0;-0.650685362;-0.650685362
219;1;10;3;0;-0.650685362;-0.650685362
220;1;10;4;0;-0.650685362;-0.650685362
221;1;10;5;0;-0.650685362;-0.650685362
222;1;10;6;0;85.170873;85.170873
223;1;10;7;0;303.5627959;303.5627959
224;1;10;8;0;393.5742709;393.5742709
225;1;10;9;0;447.5890636;447.5890636
226;1;10;10;0;576.8054613;576.8054613
227;1;10;11;0;576.8054613;576.8054613
228;1;10;12;0;576.8054613;576.8054613
229;1;10;13;0;576.8054613;576.8054613
230;1;10;14;0;576.8054613;576.8054613
