scenario,year,month,can_production_mwh,curtailment_cnf_mwh,curtailment_ene_mwh,curtailment_mwh,curtailment_pct,curtailment_cnf_pct,curtailment_ene_pct
low,2026,1,46384.3206422967,0.0,11321.00148850365,11321.00148850365,0.2440695763512016,0.0,0.2440695763512016
low,2026,2,36797.8254240519,0.0,6306.7734179395475,6306.7734179395475,0.1713898401674925,0.0,0.1713898401674925
low,2026,3,36321.9295016335,0.0,9059.307035228006,9059.307035228006,0.24941700949066,0.0,0.24941700949066
low,2026,4,32996.4481770478,0.0,5993.31840436824,5993.31840436824,0.18163525880755763,0.0,0.18163525880755763
low,2026,5,30191.4544436733,0.0,2733.668480832129,2733.668480832129,0.09054444481739687,0.0,0.09054444481739687
low,2026,6,28486.0731223138,0.0,6920.549985757563,6920.549985757563,0.2429450333867372,0.0,0.2429450333867372
low,2026,7,31046.645237537,0.0,6624.486425052163,6624.486425052163,0.21337205274091312,0.0,0.21337205274091312
low,2026,8,33544.8185472619,0.0,10239.92400745244,10239.92400745244,0.3052609747471201,0.0,0.3052609747471201
low,2026,9,38941.0997285765,0.0,10150.18045807164,10150.18045807164,0.26065469462391794,0.0,0.26065469462391794
low,2026,10,42943.1050213623,0.0,8286.90827646479,8286.90827646479,0.19297412873015163,0.0,0.19297412873015163
low,2026,11,39600.2385631903,0.0,8672.243612632854,8672.243612632854,0.2189947315290667,0.0,0.2189947315290667
low,2026,12,40757.4730609014,0.0,11667.26141528005,11667.26141528005,0.2862606667946851,0.0,0.2862606667946851
low,2027,1,57941.6837422967,0.0,13441.13820774876,13441.13820774876,0.2319770041121,0.0,0.2319770041121
low,2027,2,45966.6013665519,0.0,8527.27670108201,8527.27670108201,0.18551027153569322,0.0,0.18551027153569322
low,2027,3,45372.0939091335,0.0,12143.40629076317,12143.40629076317,0.26764042045497655,0.0,0.26764042045497655
low,2027,4,41218.0180375478,0.0,7672.499422252644,7672.499422252644,0.18614430745465088,0.0,0.18614430745465088
low,2027,5,37714.1299801733,0.0,4341.801460563438,4341.801460563438,0.11512399895863877,0.0,0.11512399895863877
low,2027,6,35583.8140358138,0.0,7483.7027904684655,7483.7027904684655,0.21031199137159368,0.0,0.21031199137159368
low,2027,7,38782.3918665371,0.0,8987.201507505495,8987.201507505495,0.2317340698952606,0.0,0.2317340698952606
low,2027,8,41903.0232747619,0.0,12325.13294483291,12325.13294483291,0.29413469438746465,0.0,0.29413469438746465
low,2027,9,48643.8704675765,0.0,11427.15603799629,11427.15603799629,0.234914613663669,0.0,0.234914613663669
low,2027,10,53643.0366038623,0.0,9165.520160234997,9165.520160234997,0.170861322186505,0.0,0.170861322186505
low,2027,11,49467.2438266903,0.0,9316.55412972148,9316.55412972148,0.1883378455925755,0.0,0.1883378455925755
low,2027,12,50912.8346379014,0.0,14721.815298427011,14721.815298427011,0.2891572508804597,0.0,0.2891572508804597
low,2028,1,57920.3892983785,0.0,9114.291238806094,9114.291238806094,0.15735894301147682,0.0,0.15735894301147682
low,2028,2,47302.3876803495,0.0,4075.590670385631,4075.590670385631,0.08616035828734127,0.0,0.08616035828734127
low,2028,3,45599.8950427263,0.0,5923.532849367126,5923.532849367126,0.12990233516583494,0.0,0.12990233516583494
low,2028,4,40764.9938260656,0.0,3261.738384277793,3261.738384277793,0.08001321914078645,0.0,0.08001321914078645
low,2028,5,37713.4951023786,0.0,2287.886357053299,2287.886357053299,0.06066492513734166,0.0,0.06066492513734166
low,2028,6,35655.591973504,0.0,4542.761372551205,4542.761372551205,0.12740670175738417,0.0,0.12740670175738417
low,2028,7,38809.6839260592,0.0,4051.7220869356534,4051.7220869356534,0.10439977029071032,0.0,0.10439977029071032
low,2028,8,42119.4814555757,0.0,8208.644990951288,8208.644990951288,0.19488950735561925,0.0,0.19488950735561925
low,2028,9,48766.022494118,0.0,6798.4135424245615,6798.4135424245615,0.13940881775306904,0.0,0.13940881775306904
