"MES_REFERENCIA";"SUBMERCADO";"PERIODO_COMERCIALIZACAO";"DIA";"HORA";"PLD_HORA"
"202201";NORDESTE;1;"01";"00";55.7
"202201";NORTE;1;"01";"00";55.7
"202201";SUDESTE;1;"01";"00";55.7
"202201";SUL;1;"01";"00";55.7
"202201";NORDESTE;2;"01";"01";55.7
"202201";NORTE;2;"01";"01";55.7
"202201";SUDESTE;2;"01";"01";55.7
"202201";SUL;2;"01";"01";55.7
"202201";NORDESTE;3;"01";"02";55.7
"202201";NORTE;3;"01";"02";55.7
"202201";SUDESTE;3;"01";"02";55.7
"202201";SUL;3;"01";"02";55.7
"202201";NORDESTE;4;"01";"03";55.7
"202201";NORTE;4;"01";"03";55.7
"202201";SUDESTE;4;"01";"03";55.7
"202201";SUL;4;"01";"03";55.7
"202201";NORDESTE;5;"01";"04";55.7
"202201";NORTE;5;"01";"04";55.7
"202201";SUDESTE;5;"01";"04";55.7
"202201";SUL;5;"01";"04";55.7
"202201";NORDESTE;6;"01";"05";55.7
"202201";NORTE;6;"01";"05";55.7
"202201";SUDESTE;6;"01";"05";55.7
"202201";SUL;6;"01";"05";55.7
"202201";NORDESTE;7;"01";"06";55.7
"202201";NORTE;7;"01";"06";55.7
"202201";SUDESTE;7;"01";"06";55.7
"202201";SUL;7;"01";"06";55.7
"202201";NORDESTE;8;"01";"07";55.7
"202201";NORTE;8;"01";"07";55.7
"202201";SUDESTE;8;"01";"07";55.7
"202201";SUL;8;"01";"07";55.7
"202201";NORDESTE;9;"01";"08";55.7
"202201";NORTE;9;"01";"08";55.7
"202201";SUDESTE;9;"01";"08";55.7
"202201";SUL;9;"01";"08";55.7
"202201";NORDESTE;10;"01";"09";55.7
"202201";NORTE;10;"01";"09";55.7
"202201";SUDESTE;10;"01";"09";55.7
"202201";SUL;10;"01";"09";55.7
"202201";NORDESTE;11;"01";"10";55.7
"202201";NORTE;11;"01";"10";55.7
"202201";SUDESTE;11;"01";"10";55.7
"202201";SUL;11;"01";"10";55.7
"202201";NORDESTE;12;"01";"11";55.7
"202201";NORTE;12;"01";"11";55.7
"202201";SUDESTE;12;"01";"11";55.7
"202201";SUL;12;"01";"11";55.7
"202201";NORDESTE;13;"01";"12";55.7
"202201";NORTE;13;"01";"12";55.7
"202201";SUDESTE;13;"01";"12";55.7
"202201";SUL;13;"01";"12";55.7
"202201";NORDESTE;14;"01";"13";55.7
"202201";NORTE;14;"01";"13";55.7
"202201";SUDESTE;14;"01";"13";55.7
"202201";SUL;14;"01";"13";55.7
"202201";NORDESTE;15;"01";"14";55.7
"202201";NORTE;15;"01";"14";55.7
"202201";SUDESTE;15;"01";"14";55.7
"202201";SUL;15;"01";"14";55.7
"202201";NORDESTE;16;"01";"15";55.7
"202201";NORTE;16;"01";"15";55.7
"202201";SUDESTE;16;"01";"15";55.7
"202201";SUL;16;"01";"15";55.7
"202201";NORDESTE;17;"01";"16";55.7
"202201";NORTE;17;"01";"16";55.7
"202201";SUDESTE;17;"01";"16";55.7
"202201";SUL;17;"01";"16";55.7
"202201";NORDESTE;18;"01";"17";55.7
"202201";NORTE;18;"01";"17";55.7
"202201";SUDESTE;18;"01";"17";55.7
"202201";SUL;18;"01";"17";55.7
"202201";NORDESTE;19;"01";"18";55.7
"202201";NORTE;19;"01";"18";55.7
"202201";SUDESTE;19;"01";"18";55.7
"202201";SUL;19;"01";"18";55.7
"202201";NORDESTE;20;"01";"19";55.7
"202201";NORTE;20;"01";"19";55.7
"202201";SUDESTE;20;"01";"19";66.71
"202201";SUL;20;"01";"19";66.71
"202201";NORDESTE;21;"01";"20";55.7
"202201";NORTE;21;"01";"20";55.7
"202201";SUDESTE;21;"01";"20";69.31
"202201";SUL;21;"01";"20";69.31
"202201";NORDESTE;22;"01";"21";55.7
"202201";NORTE;22;"01";"21";55.7
"202201";SUDESTE;22;"01";"21";67.68
"202201";SUL;22;"01";"21";67.68
"202201";NORDESTE;23;"01";"22";55.7
"202201";NORTE;23;"01";"22";55.7
"202201";SUDESTE;23;"01";"22";64.72
"202201";SUL;23;"01";"22";64.72
"202201";NORDESTE;24;"01";"23";55.7
"202201";NORTE;24;"01";"23";55.7
"202201";SUDESTE;24;"01";"23";55.7
"202201";SUL;24;"01";"23";55.7
"202201";NORDESTE;25;"02";"00";55.7
"202201";NORTE;25;"02";"00";55.7
"202201";SUDESTE;25;"02";"00";69.53
"202201";SUL;25;"02";"00";69.53
"202201";NORDESTE;26;"02";"01";55.7
"202201";NORTE;26;"02";"01";55.7
"202201";SUDESTE;26;"02";"01";69.53
"202201";SUL;26;"02";"01";69.53
"202201";NORDESTE;27;"02";"02";55.7
"202201";NORTE;27;"02";"02";55.7
"202201";SUDESTE;27;"02";"02";69.53
"202201";SUL;27;"02";"02";69.53
"202201";NORDESTE;28;"02";"03";55.7
"202201";NORTE;28;"02";"03";55.7
"202201";SUDESTE;28;"02";"03";69.53
"202201";SUL;28;"02";"03";69.53
"202201";NORDESTE;29;"02";"04";55.7
"202201";NORTE;29;"02";"04";55.7
"202201";SUDESTE;29;"02";"04";69.53
"202201";SUL;29;"02";"04";69.53
"202201";NORDESTE;30;"02";"05";55.7
"202201";NORTE;30;"02";"05";55.7
"202201";SUDESTE;30;"02";"05";69.53
"202201";SUL;30;"02";"05";69.53
"202201";NORDESTE;31;"02";"06";55.7
"202201";NORTE;31;"02";"06";55.7
"202201";SUDESTE;31;"02";"06";69.53
"202201";SUL;31;"02";"06";69.53
"202201";NORDESTE;32;"02";"07";55.7
"202201";NORTE;32;"02";"07";55.7
"202201";SUDESTE;32;"02";"07";69.53
"202201";SUL;32;"02";"07";69.53
"202201";NORDESTE;33;"02";"08";55.7
"202201";NORTE;33;"02";"08";55.7
"202201";SUDESTE;33;"02";"08";69.53
"202201";SUL;33;"02";"08";69.53
"202201";NORDESTE;34;"02";"09";55.7
"202201";NORTE;34;"02";"09";55.7
"202201";SUDESTE;34;"02";"09";69.53
"202201";SUL;34;"02";"09";69.53
"202201";NORDESTE;35;"02";"10";55.7
"202201";NORTE;35;"02";"10";55.7
"202201";SUDESTE;35;"02";"10";69.53
"202201";SUL;35;"02";"10";69.53
"202201";NORDESTE;36;"02";"11";55.7
"202201";NORTE;36;"02";"11";55.7
"202201";SUDESTE;36;"02";"11";69.53
"202201";SUL;36;"02";"11";69.53
"202201";NORDESTE;37;"02";"12";55.7
"202201";NORTE;37;"02";"12";55.7
"202201";SUDESTE;37;"02";"12";69.53
"202201";SUL;37;"02";"12";69.53
