"MES_REFERENCIA";"SUBMERCADO";"PERIODO_COMERCIALIZACAO";"DIA";"HORA";"PLD_HORA"
"202101";NORDESTE;1;"01";"00";204.36
"202101";NORTE;1;"01";"00";204.37
"202101";SUDESTE;1;"01";"00";204.37
"202101";SUL;1;"01";"00";204.37
"202101";NORDESTE;2;"01";"01";206.82
"202101";NORTE;2;"01";"01";206.82
"202101";SUDESTE;2;"01";"01";206.82
"202101";SUL;2;"01";"01";206.82
"202101";NORDESTE;3;"01";"02";204.61
"202101";NORTE;3;"01";"02";204.61
"202101";SUDESTE;3;"01";"02";204.61
"202101";SUL;3;"01";"02";204.61
"202101";NORDESTE;4;"01";"03";209.2
"202101";NORTE;4;"01";"03";209.2
"202101";SUDESTE;4;"01";"03";209.2
"202101";SUL;4;"01";"03";209.2
"202101";NORDESTE;5;"01";"04";207.19
"202101";NORTE;5;"01";"04";207.19
"202101";SUDESTE;5;"01";"04";207.19
"202101";SUL;5;"01";"04";207.19
"202101";NORDESTE;6;"01";"05";201.99
"202101";NORTE;6;"01";"05";201.99
"202101";SUDESTE;6;"01";"05";201.99
"202101";SUL;6;"01";"05";201.99
"202101";NORDESTE;7;"01";"06";195.53
"202101";NORTE;7;"01";"06";195.53
"202101";SUDESTE;7;"01";"06";195.53
"202101";SUL;7;"01";"06";195.53
"202101";NORDESTE;8;"01";"07";195.4
"202101";NORTE;8;"01";"07";195.4
"202101";SUDESTE;8;"01";"07";195.4
"202101";SUL;8;"01";"07";195.4
"202101";NORDESTE;9;"01";"08";195.5
"202101";NORTE;9;"01";"08";195.5
"202101";SUDESTE;9;"01";"08";195.5
"202101";SUL;9;"01";"08";195.5
"202101";NORDESTE;10;"01";"09";198.8
"202101";NORTE;10;"01";"09";198.8
"202101";SUDESTE;10;"01";"09";198.8
"202101";SUL;10;"01";"09";198.8
"202101";NORDESTE;11;"01";"10";201.52
"202101";NORTE;11;"01";"10";201.53
"202101";SUDESTE;11;"01";"10";201.53
"202101";SUL;11;"01";"10";201.53
"202101";NORDESTE;12;"01";"11";202.16
"202101";NORTE;12;"01";"11";202.16
"202101";SUDESTE;12;"01";"11";202.16
"202101";SUL;12;"01";"11";202.16
"202101";NORDESTE;13;"01";"12";201.94
"202101";NORTE;13;"01";"12";201.94
"202101";SUDESTE;13;"01";"12";201.94
"202101";SUL;13;"01";"12";201.94
"202101";NORDESTE;14;"01";"13";201.11
"202101";NORTE;14;"01";"13";201.11
"202101";SUDESTE;14;"01";"13";201.11
"202101";SUL;14;"01";"13";201.11
"202101";NORDESTE;15;"01";"14";200.85
"202101";NORTE;15;"01";"14";200.85
"202101";SUDESTE;15;"01";"14";200.85
"202101";SUL;15;"01";"14";200.85
"202101";NORDESTE;16;"01";"15";200.26
"202101";NORTE;16;"01";"15";200.26
"202101";SUDESTE;16;"01";"15";200.26
"202101";SUL;16;"01";"15";200.26
"202101";NORDESTE;17;"01";"16";201.65
"202101";NORTE;17;"01";"16";201.65
"202101";SUDESTE;17;"01";"16";201.65
"202101";SUL;17;"01";"16";201.65
"202101";NORDESTE;18;"01";"17";207.98
"202101";NORTE;18;"01";"17";207.98
"202101";SUDESTE;18;"01";"17";207.98
"202101";SUL;18;"01";"17";207.98
"202101";NORDESTE;19;"01";"18";213.89
"202101";NORTE;19;"01";"18";213.89
"202101";SUDESTE;19;"01";"18";213.89
"202101";SUL;19;"01";"18";213.89
"202101";NORDESTE;20;"01";"19";220.09
"202101";NORTE;20;"01";"19";220.09
"202101";SUDESTE;20;"01";"19";220.09
"202101";SUL;20;"01";"19";220.09
"202101";NORDESTE;21;"01";"20";221.99
"202101";NORTE;21;"01";"20";221.99
"202101";SUDESTE;21;"01";"20";221.99
