"MES_REFERENCIA";"SUBMERCADO";"PERIODO_COMERCIALIZACAO";"DIA";"HORA";"PLD_HORA"
"202401";NORDESTE;37;"02";"12";61.07
"202401";NORTE;37;"02";"12";61.07
"202401";SUDESTE;37;"02";"12";61.07
"202401";SUL;37;"02";"12";61.07
"202401";NORDESTE;38;"02";"13";61.07
"202401";NORTE;38;"02";"13";61.07
"202401";SUDESTE;38;"02";"13";61.07
"202401";SUL;38;"02";"13";61.07
"202401";NORDESTE;39;"02";"14";61.07
"202401";NORTE;39;"02";"14";61.07
"202401";SUDESTE;39;"02";"14";61.07
"202401";SUL;39;"02";"14";61.07
"202401";NORDESTE;40;"02";"15";61.07
"202401";NORTE;40;"02";"15";61.07
"202401";SUDESTE;40;"02";"15";61.07
"202401";SUL;40;"02";"15";61.07
"202401";NORDESTE;41;"02";"16";61.07
"202401";NORTE;41;"02";"16";61.07
"202401";SUDESTE;41;"02";"16";61.07
"202401";SUL;41;"02";"16";61.07
"202401";NORDESTE;42;"02";"17";61.07
"202401";NORTE;42;"02";"17";61.07
"202401";SUDESTE;42;"02";"17";61.07
"202401";SUL;42;"02";"17";61.07
"202401";NORDESTE;43;"02";"18";61.07
"202401";NORTE;43;"02";"18";61.07
"202401";SUDESTE;43;"02";"18";61.07
"202401";SUL;43;"02";"18";61.07
"202401";NORDESTE;44;"02";"19";61.07
"202401";NORTE;44;"02";"19";61.07
"202401";SUDESTE;44;"02";"19";61.07
"202401";SUL;44;"02";"19";61.07
"202401";NORDESTE;45;"02";"20";61.07
"202401";NORTE;45;"02";"20";61.07
"202401";SUDESTE;45;"02";"20";61.07
"202401";SUL;45;"02";"20";61.07
"202401";NORDESTE;46;"02";"21";61.07
"202401";NORTE;46;"02";"21";61.07
"202401";SUDESTE;46;"02";"21";61.07
"202401";SUL;46;"02";"21";61.07
"202401";NORDESTE;47;"02";"22";61.07
"202401";NORTE;47;"02";"22";61.07
"202401";SUDESTE;47;"02";"22";61.07
"202401";SUL;47;"02";"22";61.07
"202401";NORDESTE;48;"02";"23";61.07
"202401";NORTE;48;"02";"23";61.07
"202401";SUDESTE;48;"02";"23";61.07
"202401";SUL;48;"02";"23";61.07
"202401";NORDESTE;49;"03";"00";61.07
"202401";NORTE;49;"03";"00";61.07
"202401";SUDESTE;49;"03";"00";61.07
"202401";SUL;49;"03";"00";61.07
"202401";NORDESTE;50;"03";"01";61.07
"202401";NORTE;50;"03";"01";61.07
"202401";SUDESTE;50;"03";"01";61.07
"202401";SUL;50;"03";"01";61.07
"202401";NORDESTE;51;"03";"02";61.07
"202401";NORTE;51;"03";"02";61.07
"202401";SUDESTE;51;"03";"02";61.07
"202401";SUL;51;"03";"02";61.07
"202401";NORDESTE;52;"03";"03";61.07
"202401";NORTE;52;"03";"03";61.07
"202401";SUDESTE;52;"03";"03";61.07
"202401";SUL;52;"03";"03";61.07
"202401";NORDESTE;53;"03";"04";61.07
"202401";NORTE;53;"03";"04";61.07
"202401";SUDESTE;53;"03";"04";61.07
"202401";SUL;53;"03";"04";61.07
"202401";NORDESTE;54;"03";"05";61.07
"202401";NORTE;54;"03";"05";61.07
"202401";SUDESTE;54;"03";"05";61.07
"202401";SUL;54;"03";"05";61.07
"202401";NORDESTE;55;"03";"06";61.07
"202401";NORTE;55;"03";"06";61.07
"202401";SUDESTE;55;"03";"06";61.07
"202401";SUL;55;"03";"06";61.07
"202401";NORDESTE;56;"03";"07";61.07
"202401";NORTE;56;"03";"07";61.07
"202401";SUDESTE;56;"03";"07";61.07
"202401";SUL;56;"03";"07";61.07
"202401";NORDESTE;57;"03";"08";61.07
"202401";NORTE;57;"03";"08";61.07
"202401";SUDESTE;57;"03";"08";61.07
"202401";SUL;57;"03";"08";61.07
"202401";NORDESTE;58;"03";"09";61.07
"202401";NORTE;58;"03";"09";61.07
"202401";SUDESTE;58;"03";"09";61.07
"202401";SUL;58;"03";"09";61.07
"202401";NORDESTE;59;"03";"10";61.07
"202401";NORTE;59;"03";"10";61.07
"202401";SUDESTE;59;"03";"10";61.07
"202401";SUL;59;"03";"10";61.07
"202401";NORDESTE;60;"03";"11";61.07
"202401";NORTE;60;"03";"11";61.07
"202401";SUDESTE;60;"03";"11";61.07
"202401";SUL;60;"03";"11";61.07
"202401";NORDESTE;61;"03";"12";61.07
"202401";NORTE;61;"03";"12";61.07
"202401";SUDESTE;61;"03";"12";61.07
"202401";SUL;61;"03";"12";61.07
"202401";NORDESTE;62;"03";"13";61.07
"202401";NORTE;62;"03";"13";61.07
"202401";SUDESTE;62;"03";"13";61.07
"202401";SUL;62;"03";"13";61.07
"202401";NORDESTE;63;"03";"14";61.07
"202401";NORTE;63;"03";"14";61.07
"202401";SUDESTE;63;"03";"14";61.07
"202401";SUL;63;"03";"14";61.07
"202401";NORDESTE;64;"03";"15";61.07
"202401";NORTE;64;"03";"15";61.07
"202401";SUDESTE;64;"03";"15";61.07
"202401";SUL;64;"03";"15";61.07
"202401";NORDESTE;65;"03";"16";61.07
"202401";NORTE;65;"03";"16";61.07
"202401";SUDESTE;65;"03";"16";61.07
"202401";SUL;65;"03";"16";61.07
"202401";NORDESTE;66;"03";"17";61.07
"202401";NORTE;66;"03";"17";61.07
"202401";SUDESTE;66;"03";"17";61.07
"202401";SUL;66;"03";"17";61.07
"202401";NORDESTE;67;"03";"18";61.07
"202401";NORTE;67;"03";"18";61.07
"202401";SUDESTE;67;"03";"18";61.07
"202401";SUL;67;"03";"18";61.07
"202401";NORDESTE;68;"03";"19";61.07
"202401";NORTE;68;"03";"19";61.07
"202401";SUDESTE;68;"03";"19";61.07
"202401";SUL;68;"03";"19";61.07
"202401";NORDESTE;69;"03";"20";61.07
"202401";NORTE;69;"03";"20";61.07
"202401";SUDESTE;69;"03";"20";61.07
"202401";SUL;69;"03";"20";61.07
"202401";NORDESTE;70;"03";"21";61.07
"202401";NORTE;70;"03";"21";61.07
"202401";SUDESTE;70;"03";"21";61.07
"202401";SUL;70;"03";"21";61.07
"202401";NORDESTE;71;"03";"22";61.07
"202401";NORTE;71;"03";"22";61.07
"202401";SUDESTE;71;"03";"22";61.07
"202401";SUL;71;"03";"22";61.07
"202401";NORDESTE;72;"03";"23";61.07
"202401";NORTE;72;"03";"23";61.07
"202401";SUDESTE;72;"03";"23";61.07
"202401";SUL;72;"03";"23";61.07
"202401";NORDESTE;73;"04";"00";61.07
"202401";NORTE;73;"04";"00";61.07
"202401";SUDESTE;73;"04";"00";61.07
"202401";SUL;73;"04";"00";61.07
"202401";NORDESTE;74;"04";"01";61.07
"202401";NORTE;74;"04";"01";61.07
"202401";SUDESTE;74;"04";"01";61.07
"202401";SUL;74;"04";"01";61.07
"202401";NORDESTE;75;"04";"02";61.07
"202401";NORTE;75;"04";"02";61.07
"202401";SUDESTE;75;"04";"02";61.07
"202401";SUL;75;"04";"02";61.07
"202401";NORDESTE;76;"04";"03";61.07
"202401";NORTE;76;"04";"03";61.07
"202401";SUDESTE;76;"04";"03";61.07
"202401";SUL;76;"04";"03";61.07
"202401";NORDESTE;77;"04";"04";61.07
"202401";NORTE;77;"04";"04";61.07
"202401";SUDESTE;77;"04";"04";61.07
"202401";SUL;77;"04";"04";61.07
"202401";NORDESTE;78;"04";"05";61.07
"202401";NORTE;78;"04";"05";61.07
"202401";SUDESTE;78;"04";"05";61.07
"202401";SUL;78;"04";"05";61.07
"202401";NORDESTE;79;"04";"06";61.07
"202401";NORTE;79;"04";"06";61.07
"202401";SUDESTE;79;"04";"06";61.07
"202401";SUL;79;"04";"06";61.07
"202401";NORDESTE;80;"04";"07";61.07
"202401";NORTE;80;"04";"07";61.07
"202401";SUDESTE;80;"04";"07";61.07
"202401";SUL;80;"04";"07";61.07
"202401";NORDESTE;81;"04";"08";61.07
"202401";NORTE;81;"04";"08";61.07
"202401";SUDESTE;81;"04";"08";61.07
"202401";SUL;81;"04";"08";61.07
"202401";NORDESTE;82;"04";"09";61.07
"202401";NORTE;82;"04";"09";61.07
"202401";SUDESTE;82;"04";"09";61.07
"202401";SUL;82;"04";"09";61.07
"202401";NORDESTE;83;"04";"10";61.07
"202401";NORTE;83;"04";"10";61.07
"202401";SUDESTE;83;"04";"10";61.07
"202401";SUL;83;"04";"10";61.07
"202401";NORDESTE;84;"04";"11";61.07
"202401";NORTE;84;"04";"11";61.07
"202401";SUDESTE;84;"04";"11";61.07
"202401";SUL;84;"04";"11";61.07
"202401";NORDESTE;85;"04";"12";61.07
"202401";NORTE;85;"04";"12";61.07
"202401";SUDESTE;85;"04";"12";61.07
"202401";SUL;85;"04";"12";61.07
