id_subsistema;nom_subsistema;din_instante;val_cmo
NE;NORDESTE;2022-01-01 00:00:00;0.24000000
N;NORTE;2022-01-01 00:00:00;0.64000000
SE;SUDESTE;2022-01-01 00:00:00;-3.60000000
S;SUL;2022-01-01 00:00:00;59.21000000
NE;NORDESTE;2022-01-01 00:30:00;0.24000000
N;NORTE;2022-01-01 00:30:00;0.64000000
SE;SUDESTE;2022-01-01 00:30:00;-3.57000000
S;SUL;2022-01-01 00:30:00;58.47000000
NE;NORDESTE;2022-01-01 01:00:00;0.23000000
N;NORTE;2022-01-01 01:00:00;0.64000000
SE;SUDESTE;2022-01-01 01:00:00;-3.53000000
S;SUL;2022-01-01 01:00:00;57.80000000
NE;NORDESTE;2022-01-01 01:30:00;0.23000000
N;NORTE;2022-01-01 01:30:00;0.64000000
SE;SUDESTE;2022-01-01 01:30:00;-3.52000000
S;SUL;2022-01-01 01:30:00;57.74000000
NE;NORDESTE;2022-01-01 02:00:00;0.23000000
N;NORTE;2022-01-01 02:00:00;0.69000000
SE;SUDESTE;2022-01-01 02:00:00;-3.50000000
S;SUL;2022-01-01 02:00:00;57.53000000
NE;NORDESTE;2022-01-01 02:30:00;0.23000000
N;NORTE;2022-01-01 02:30:00;0.70000000
SE;SUDESTE;2022-01-01 02:30:00;-3.51000000
S;SUL;2022-01-01 02:30:00;57.76000000
NE;NORDESTE;2022-01-01 03:00:00;0.24000000
N;NORTE;2022-01-01 03:00:00;27.49000000
SE;SUDESTE;2022-01-01 03:00:00;-3.51000000
S;SUL;2022-01-01 03:00:00;57.74000000
NE;NORDESTE;2022-01-01 03:30:00;0.24000000
N;NORTE;2022-01-01 03:30:00;27.83000000
SE;SUDESTE;2022-01-01 03:30:00;-3.50000000
S;SUL;2022-01-01 03:30:00;57.69000000
NE;NORDESTE;2022-01-01 04:00:00;0.24000000
N;NORTE;2022-01-01 04:00:00;27.94000000
SE;SUDESTE;2022-01-01 04:00:00;-3.47000000
S;SUL;2022-01-01 04:00:00;57.27000000
NE;NORDESTE;2022-01-01 04:30:00;0.23000000
N;NORTE;2022-01-01 04:30:00;28.07000000
SE;SUDESTE;2022-01-01 04:30:00;-3.47000000
S;SUL;2022-01-01 04:30:00;57.52000000
NE;NORDESTE;2022-01-01 05:00:00;0.22000000
N;NORTE;2022-01-01 05:00:00;27.61000000
SE;SUDESTE;2022-01-01 05:00:00;-3.50000000
S;SUL;2022-01-01 05:00:00;57.23000000
NE;NORDESTE;2022-01-01 05:30:00;-0.02000000
N;NORTE;2022-01-01 05:30:00;0.70000000
SE;SUDESTE;2022-01-01 05:30:00;-4.28000000
S;SUL;2022-01-01 05:30:00;57.10000000
NE;NORDESTE;2022-01-01 06:00:00;-0.16000000
N;NORTE;2022-01-01 06:00:00;0.50000000
SE;SUDESTE;2022-01-01 06:00:00;-5.53000000
S;SUL;2022-01-01 06:00:00;56.08000000
NE;NORDESTE;2022-01-01 06:30:00;-0.18000000
N;NORTE;2022-01-01 06:30:00;0.40000000
SE;SUDESTE;2022-01-01 06:30:00;-5.86000000
S;SUL;2022-01-01 06:30:00;55.66000000
NE;NORDESTE;2022-01-01 07:00:00;-0.20000000
N;NORTE;2022-01-01 07:00:00;0.35000000
SE;SUDESTE;2022-01-01 07:00:00;-6.18000000
S;SUL;2022-01-01 07:00:00;57.46000000
NE;NORDESTE;2022-01-01 07:30:00;-0.25000000
N;NORTE;2022-01-01 07:30:00;0.37000000
SE;SUDESTE;2022-01-01 07:30:00;-5.83000000
S;SUL;2022-01-01 07:30:00;55.36000000
NE;NORDESTE;2022-01-01 08:00:00;-0.24000000
N;NORTE;2022-01-01 08:00:00;0.40000000
SE;SUDESTE;2022-01-01 08:00:00;-5.66000000
S;SUL;2022-01-01 08:00:00;55.43000000
NE;NORDESTE;2022-01-01 08:30:00;-0.22000000
N;NORTE;2022-01-01 08:30:00;0.37000000
SE;SUDESTE;2022-01-01 08:30:00;-5.67000000
S;SUL;2022-01-01 08:30:00;55.44000000
NE;NORDESTE;2022-01-01 09:00:00;0E-8
N;NORTE;2022-01-01 09:00:00;0.33000000
SE;SUDESTE;2022-01-01 09:00:00;0E-8
S;SUL;2022-01-01 09:00:00;0E-8
NE;NORDESTE;2022-01-01 09:30:00;0E-8
N;NORTE;2022-01-01 09:30:00;0.33000000
SE;SUDESTE;2022-01-01 09:30:00;0E-8
S;SUL;2022-01-01 09:30:00;0E-8
NE;NORDESTE;2022-01-01 10:00:00;0E-8
N;NORTE;2022-01-01 10:00:00;0.34000000
SE;SUDESTE;2022-01-01 10:00:00;0E-8
S;SUL;2022-01-01 10:00:00;0E-8
NE;NORDESTE;2022-01-01 10:30:00;0E-8
N;NORTE;2022-01-01 10:30:00;0.34000000
SE;SUDESTE;2022-01-01 10:30:00;0E-8
S;SUL;2022-01-01 10:30:00;0E-8
NE;NORDESTE;2022-01-01 11:00:00;0E-8
N;NORTE;2022-01-01 11:00:00;0.34000000
SE;SUDESTE;2022-01-01 11:00:00;0E-8
S;SUL;2022-01-01 11:00:00;0E-8
NE;NORDESTE;2022-01-01 11:30:00;0E-8
N;NORTE;2022-01-01 11:30:00;0E-8
SE;SUDESTE;2022-01-01 11:30:00;0E-8
S;SUL;2022-01-01 11:30:00;0E-8
NE;NORDESTE;2022-01-01 12:00:00;0E-8
N;NORTE;2022-01-01 12:00:00;0E-8
SE;SUDESTE;2022-01-01 12:00:00;0E-8
S;SUL;2022-01-01 12:00:00;0E-8
NE;NORDESTE;2022-01-01 12:30:00;0E-8
N;NORTE;2022-01-01 12:30:00;0E-8
SE;SUDESTE;2022-01-01 12:30:00;0E-8
S;SUL;2022-01-01 12:30:00;0E-8
NE;NORDESTE;2022-01-01 13:00:00;0E-8
N;NORTE;2022-01-01 13:00:00;0E-8
SE;SUDESTE;2022-01-01 13:00:00;0E-8
S;SUL;2022-01-01 13:00:00;0E-8
NE;NORDESTE;2022-01-01 13:30:00;0E-8
N;NORTE;2022-01-01 13:30:00;0E-8
SE;SUDESTE;2022-01-01 13:30:00;0E-8
S;SUL;2022-01-01 13:30:00;0E-8
NE;NORDESTE;2022-01-01 14:00:00;0E-8
N;NORTE;2022-01-01 14:00:00;0E-8
SE;SUDESTE;2022-01-01 14:00:00;0E-8
S;SUL;2022-01-01 14:00:00;0E-8
NE;NORDESTE;2022-01-01 14:30:00;0E-8
N;NORTE;2022-01-01 14:30:00;0E-8
SE;SUDESTE;2022-01-01 14:30:00;0E-8
S;SUL;2022-01-01 14:30:00;0E-8
NE;NORDESTE;2022-01-01 15:00:00;0E-8
N;NORTE;2022-01-01 15:00:00;0E-8
SE;SUDESTE;2022-01-01 15:00:00;0E-8
S;SUL;2022-01-01 15:00:00;0E-8
NE;NORDESTE;2022-01-01 15:30:00;0E-8
N;NORTE;2022-01-01 15:30:00;0.33000000
SE;SUDESTE;2022-01-01 15:30:00;0E-8
S;SUL;2022-01-01 15:30:00;0E-8
NE;NORDESTE;2022-01-01 16:00:00;0E-8
N;NORTE;2022-01-01 16:00:00;0.33000000
SE;SUDESTE;2022-01-01 16:00:00;0E-8
S;SUL;2022-01-01 16:00:00;0E-8
NE;NORDESTE;2022-01-01 16:30:00;0E-8
N;NORTE;2022-01-01 16:30:00;0.36000000
SE;SUDESTE;2022-01-01 16:30:00;0E-8
S;SUL;2022-01-01 16:30:00;0E-8
NE;NORDESTE;2022-01-01 17:00:00;0E-8
N;NORTE;2022-01-01 17:00:00;0.38000000
SE;SUDESTE;2022-01-01 17:00:00;0E-8
S;SUL;2022-01-01 17:00:00;0E-8
NE;NORDESTE;2022-01-01 17:30:00;0E-8
N;NORTE;2022-01-01 17:30:00;0.37000000
SE;SUDESTE;2022-01-01 17:30:00;0E-8
S;SUL;2022-01-01 17:30:00;0E-8
NE;NORDESTE;2022-01-01 18:00:00;17.59000000
N;NORTE;2022-01-01 18:00:00;3.30000000
SE;SUDESTE;2022-01-01 18:00:00;27.06000000
S;SUL;2022-01-01 18:00:00;27.65000000
NE;NORDESTE;2022-01-01 18:30:00;29.40000000
N;NORTE;2022-01-01 18:30:00;6.45000000
SE;SUDESTE;2022-01-01 18:30:00;36.69000000
S;SUL;2022-01-01 18:30:00;37.28000000
NE;NORDESTE;2022-01-01 19:00:00;50.23000000
N;NORTE;2022-01-01 19:00:00;10.52000000
SE;SUDESTE;2022-01-01 19:00:00;61.90000000
S;SUL;2022-01-01 19:00:00;62.55000000
NE;NORDESTE;2022-01-01 19:30:00;52.28000000
N;NORTE;2022-01-01 19:30:00;10.94000000
SE;SUDESTE;2022-01-01 19:30:00;64.61000000
S;SUL;2022-01-01 19:30:00;65.26000000
NE;NORDESTE;2022-01-01 20:00:00;52.30000000
N;NORTE;2022-01-01 20:00:00;10.92000000
SE;SUDESTE;2022-01-01 20:00:00;64.63000000
S;SUL;2022-01-01 20:00:00;65.27000000
NE;NORDESTE;2022-01-01 20:30:00;52.32000000
N;NORTE;2022-01-01 20:30:00;10.99000000
SE;SUDESTE;2022-01-01 20:30:00;64.65000000
S;SUL;2022-01-01 20:30:00;65.29000000
NE;NORDESTE;2022-01-01 21:00:00;52.31000000
N;NORTE;2022-01-01 21:00:00;11.08000000
SE;SUDESTE;2022-01-01 21:00:00;64.63000000
S;SUL;2022-01-01 21:00:00;65.27000000
NE;NORDESTE;2022-01-01 21:30:00;52.30000000
N;NORTE;2022-01-01 21:30:00;11.04000000
SE;SUDESTE;2022-01-01 21:30:00;64.62000000
S;SUL;2022-01-01 21:30:00;65.27000000
NE;NORDESTE;2022-01-01 22:00:00;52.08000000
N;NORTE;2022-01-01 22:00:00;10.49000000
SE;SUDESTE;2022-01-01 22:00:00;64.28000000
S;SUL;2022-01-01 22:00:00;64.72000000
NE;NORDESTE;2022-01-01 22:30:00;51.02000000
N;NORTE;2022-01-01 22:30:00;13.17000000
SE;SUDESTE;2022-01-01 22:30:00;61.80000000
S;SUL;2022-01-01 22:30:00;62.25000000
NE;NORDESTE;2022-01-01 23:00:00;31.62000000
N;NORTE;2022-01-01 23:00:00;8.34000000
SE;SUDESTE;2022-01-01 23:00:00;38.24000000
S;SUL;2022-01-01 23:00:00;38.52000000
NE;NORDESTE;2022-01-01 23:30:00;30.76000000
N;NORTE;2022-01-01 23:30:00;25.71000000
SE;SUDESTE;2022-01-01 23:30:00;37.26000000
S;SUL;2022-01-01 23:30:00;37.54000000
NE;NORDESTE;2022-01-03 00:00:00;58.89000000
N;NORTE;2022-01-03 00:00:00;45.54000000
SE;SUDESTE;2022-01-03 00:00:00;63.26000000
S;SUL;2022-01-03 00:00:00;63.44000000
NE;NORDESTE;2022-01-03 00:30:00;57.08000000
N;NORTE;2022-01-03 00:30:00;39.73000000
SE;SUDESTE;2022-01-03 00:30:00;62.26000000
S;SUL;2022-01-03 00:30:00;62.46000000
NE;NORDESTE;2022-01-03 01:00:00;45.87000000
N;NORTE;2022-01-03 01:00:00;8.24000000
SE;SUDESTE;2022-01-03 01:00:00;52.67000000
S;SUL;2022-01-03 01:00:00;52.77000000
NE;NORDESTE;2022-01-03 01:30:00;36.78000000
N;NORTE;2022-01-03 01:30:00;6.76000000
SE;SUDESTE;2022-01-03 01:30:00;42.58000000
S;SUL;2022-01-03 01:30:00;42.69000000
NE;NORDESTE;2022-01-03 02:00:00;33.30000000
N;NORTE;2022-01-03 02:00:00;6.10000000
SE;SUDESTE;2022-01-03 02:00:00;38.23000000
S;SUL;2022-01-03 02:00:00;38.31000000
NE;NORDESTE;2022-01-03 02:30:00;33.37000000
N;NORTE;2022-01-03 02:30:00;6.12000000
SE;SUDESTE;2022-01-03 02:30:00;38.32000000
S;SUL;2022-01-03 02:30:00;38.39000000
NE;NORDESTE;2022-01-03 03:00:00;34.00000000
N;NORTE;2022-01-03 03:00:00;6.22000000
SE;SUDESTE;2022-01-03 03:00:00;39.04000000
S;SUL;2022-01-03 03:00:00;39.11000000
NE;NORDESTE;2022-01-03 03:30:00;34.01000000
N;NORTE;2022-01-03 03:30:00;6.18000000
SE;SUDESTE;2022-01-03 03:30:00;39.04000000
S;SUL;2022-01-03 03:30:00;39.11000000
NE;NORDESTE;2022-01-03 04:00:00;33.05000000
N;NORTE;2022-01-03 04:00:00;6.02000000
SE;SUDESTE;2022-01-03 04:00:00;37.93000000
S;SUL;2022-01-03 04:00:00;38.00000000
NE;NORDESTE;2022-01-03 04:30:00;33.77000000
N;NORTE;2022-01-03 04:30:00;6.15000000
SE;SUDESTE;2022-01-03 04:30:00;38.76000000
S;SUL;2022-01-03 04:30:00;38.83000000
NE;NORDESTE;2022-01-03 05:00:00;32.79000000
N;NORTE;2022-01-03 05:00:00;5.65000000
SE;SUDESTE;2022-01-03 05:00:00;37.63000000
S;SUL;2022-01-03 05:00:00;37.70000000
NE;NORDESTE;2022-01-03 05:30:00;33.97000000
N;NORTE;2022-01-03 05:30:00;5.75000000
SE;SUDESTE;2022-01-03 05:30:00;38.96000000
S;SUL;2022-01-03 05:30:00;39.03000000
NE;NORDESTE;2022-01-03 06:00:00;47.55000000
N;NORTE;2022-01-03 06:00:00;7.68000000
SE;SUDESTE;2022-01-03 06:00:00;55.96000000
S;SUL;2022-01-03 06:00:00;56.09000000
NE;NORDESTE;2022-01-03 06:30:00;49.22000000
N;NORTE;2022-01-03 06:30:00;7.62000000
SE;SUDESTE;2022-01-03 06:30:00;61.08000000
S;SUL;2022-01-03 06:30:00;61.28000000
NE;NORDESTE;2022-01-03 07:00:00;49.18000000
N;NORTE;2022-01-03 07:00:00;7.88000000
SE;SUDESTE;2022-01-03 07:00:00;62.44000000
S;SUL;2022-01-03 07:00:00;62.89000000
NE;NORDESTE;2022-01-03 07:30:00;50.81000000
N;NORTE;2022-01-03 07:30:00;8.16000000
SE;SUDESTE;2022-01-03 07:30:00;64.55000000
S;SUL;2022-01-03 07:30:00;65.97000000
