id_subsistema;nom_subsistema;din_instante;val_cmo
NE;NORDESTE;2020-01-01 00:00:00;286.87000000
N;NORTE;2020-01-01 00:00:00;286.68000000
SE;SUDESTE;2020-01-01 00:00:00;285.76000000
S;SUL;2020-01-01 00:00:00;286.68000000
NE;NORDESTE;2020-01-01 00:30:00;286.85000000
N;NORTE;2020-01-01 00:30:00;286.66000000
SE;SUDESTE;2020-01-01 00:30:00;285.74000000
S;SUL;2020-01-01 00:30:00;286.66000000
NE;NORDESTE;2020-01-01 01:00:00;286.83000000
N;NORTE;2020-01-01 01:00:00;286.63000000
SE;SUDESTE;2020-01-01 01:00:00;285.71000000
S;SUL;2020-01-01 01:00:00;286.63000000
NE;NORDESTE;2020-01-01 01:30:00;286.81000000
N;NORTE;2020-01-01 01:30:00;286.61000000
SE;SUDESTE;2020-01-01 01:30:00;285.67000000
S;SUL;2020-01-01 01:30:00;286.61000000
NE;NORDESTE;2020-01-01 02:00:00;286.74000000
N;NORTE;2020-01-01 02:00:00;286.54000000
SE;SUDESTE;2020-01-01 02:00:00;285.59000000
S;SUL;2020-01-01 02:00:00;286.54000000
NE;NORDESTE;2020-01-01 02:30:00;299.61000000
N;NORTE;2020-01-01 02:30:00;284.53000000
SE;SUDESTE;2020-01-01 02:30:00;283.58000000
S;SUL;2020-01-01 02:30:00;284.53000000
NE;NORDESTE;2020-01-01 03:00:00;298.62000000
N;NORTE;2020-01-01 03:00:00;283.45000000
SE;SUDESTE;2020-01-01 03:00:00;282.50000000
S;SUL;2020-01-01 03:00:00;283.45000000
NE;NORDESTE;2020-01-01 03:30:00;298.36000000
N;NORTE;2020-01-01 03:30:00;283.14000000
SE;SUDESTE;2020-01-01 03:30:00;282.17000000
S;SUL;2020-01-01 03:30:00;283.14000000
NE;NORDESTE;2020-01-01 04:00:00;298.28000000
N;NORTE;2020-01-01 04:00:00;283.03000000
SE;SUDESTE;2020-01-01 04:00:00;282.05000000
S;SUL;2020-01-01 04:00:00;283.03000000
NE;NORDESTE;2020-01-01 04:30:00;297.85000000
N;NORTE;2020-01-01 04:30:00;282.67000000
SE;SUDESTE;2020-01-01 04:30:00;281.68000000
S;SUL;2020-01-01 04:30:00;282.67000000
NE;NORDESTE;2020-01-01 05:00:00;280.68000000
N;NORTE;2020-01-01 05:00:00;280.68000000
SE;SUDESTE;2020-01-01 05:00:00;279.67000000
S;SUL;2020-01-01 05:00:00;280.68000000
NE;NORDESTE;2020-01-01 05:30:00;278.56000000
N;NORTE;2020-01-01 05:30:00;278.56000000
SE;SUDESTE;2020-01-01 05:30:00;277.52000000
S;SUL;2020-01-01 05:30:00;278.56000000
NE;NORDESTE;2020-01-01 06:00:00;262.84000000
N;NORTE;2020-01-01 06:00:00;262.84000000
SE;SUDESTE;2020-01-01 06:00:00;262.84000000
S;SUL;2020-01-01 06:00:00;262.84000000
NE;NORDESTE;2020-01-01 06:30:00;261.76000000
