id_subsistema;nom_subsistema;din_instante;val_cmo
NE;NORDESTE;2025-01-01 00:00:00;12.32
N;NORTE;2025-01-01 00:00:00;12.34
SE;SUDESTE;2025-01-01 00:00:00;12.34
S;SUL;2025-01-01 00:00:00;12.34
NE;NORDESTE;2025-01-01 00:30:00;12.08
N;NORTE;2025-01-01 00:30:00;12.1
SE;SUDESTE;2025-01-01 00:30:00;12.1
S;SUL;2025-01-01 00:30:00;12.1
NE;NORDESTE;2025-01-01 01:00:00;10.32
N;NORTE;2025-01-01 01:00:00;10.34
SE;SUDESTE;2025-01-01 01:00:00;10.34
S;SUL;2025-01-01 01:00:00;10.36
NE;NORDESTE;2025-01-01 01:30:00;10.35
N;NORTE;2025-01-01 01:30:00;10.37
SE;SUDESTE;2025-01-01 01:30:00;10.36
S;SUL;2025-01-01 01:30:00;10.39
NE;NORDESTE;2025-01-01 02:00:00;10.31
N;NORTE;2025-01-01 02:00:00;10.33
SE;SUDESTE;2025-01-01 02:00:00;10.33
S;SUL;2025-01-01 02:00:00;10.35
NE;NORDESTE;2025-01-01 02:30:00;10.24
N;NORTE;2025-01-01 02:30:00;10.26
SE;SUDESTE;2025-01-01 02:30:00;10.26
S;SUL;2025-01-01 02:30:00;10.28
NE;NORDESTE;2025-01-01 03:00:00;8.86
N;NORTE;2025-01-01 03:00:00;8.88
SE;SUDESTE;2025-01-01 03:00:00;8.88
S;SUL;2025-01-01 03:00:00;8.92
NE;NORDESTE;2025-01-01 03:30:00;8.79
N;NORTE;2025-01-01 03:30:00;8.81
SE;SUDESTE;2025-01-01 03:30:00;8.81
S;SUL;2025-01-01 03:30:00;8.85
NE;NORDESTE;2025-01-01 04:00:00;8.79
N;NORTE;2025-01-01 04:00:00;8.81
SE;SUDESTE;2025-01-01 04:00:00;8.81
S;SUL;2025-01-01 04:00:00;8.85
NE;NORDESTE;2025-01-01 04:30:00;8.72
N;NORTE;2025-01-01 04:30:00;8.74
SE;SUDESTE;2025-01-01 04:30:00;8.74
S;SUL;2025-01-01 04:30:00;8.78
NE;NORDESTE;2025-01-01 05:00:00;8.72
N;NORTE;2025-01-01 05:00:00;8.74
SE;SUDESTE;2025-01-01 05:00:00;8.74
S;SUL;2025-01-01 05:00:00;8.78
NE;NORDESTE;2025-01-01 05:30:00;4.53
N;NORTE;2025-01-01 05:30:00;4.55
SE;SUDESTE;2025-01-01 05:30:00;4.55
S;SUL;2025-01-01 05:30:00;4.59
NE;NORDESTE;2025-01-01 06:00:00;0.0
N;NORTE;2025-01-01 06:00:00;0.02
SE;SUDESTE;2025-01-01 06:00:00;0.02
S;SUL;2025-01-01 06:00:00;0.06
NE;NORDESTE;2025-01-01 06:30:00;0.0
N;NORTE;2025-01-01 06:30:00;0.02
SE;SUDESTE;2025-01-01 06:30:00;0.02
S;SUL;2025-01-01 06:30:00;0.06
NE;NORDESTE;2025-01-01 07:00:00;0.0
N;NORTE;2025-01-01 07:00:00;0.0
SE;SUDESTE;2025-01-01 07:00:00;0.0
S;SUL;2025-01-01 07:00:00;0.02
NE;NORDESTE;2025-01-01 07:30:00;0.0
N;NORTE;2025-01-01 07:30:00;0.0
SE;SUDESTE;2025-01-01 07:30:00;0.0
