id_subsistema;nom_subsistema;din_instante;val_cmo
NE;NORDESTE;2021-01-01 00:00:00;212.40000000
N;NORTE;2021-01-01 00:00:00;185.31000000
SE;SUDESTE;2021-01-01 00:00:00;209.25000000
S;SUL;2021-01-01 00:00:00;209.31000000
NE;NORDESTE;2021-01-01 00:30:00;220.36000000
N;NORTE;2021-01-01 00:30:00;198.01000000
SE;SUDESTE;2021-01-01 00:30:00;208.52000000
S;SUL;2021-01-01 00:30:00;208.55000000
NE;NORDESTE;2021-01-01 01:00:00;224.59000000
N;NORTE;2021-01-01 01:00:00;203.06000000
SE;SUDESTE;2021-01-01 01:00:00;207.67000000
S;SUL;2021-01-01 01:00:00;207.68000000
NE;NORDESTE;2021-01-01 01:30:00;226.99000000
N;NORTE;2021-01-01 01:30:00;205.78000000
SE;SUDESTE;2021-01-01 01:30:00;207.55000000
S;SUL;2021-01-01 01:30:00;207.55000000
NE;NORDESTE;2021-01-01 02:00:00;226.32000000
N;NORTE;2021-01-01 02:00:00;205.20000000
SE;SUDESTE;2021-01-01 02:00:00;206.83000000
S;SUL;2021-01-01 02:00:00;206.83000000
NE;NORDESTE;2021-01-01 02:30:00;226.34000000
N;NORTE;2021-01-01 02:30:00;201.89000000
SE;SUDESTE;2021-01-01 02:30:00;206.83000000
S;SUL;2021-01-01 02:30:00;206.83000000
NE;NORDESTE;2021-01-01 03:00:00;228.95000000
N;NORTE;2021-01-01 03:00:00;204.08000000
SE;SUDESTE;2021-01-01 03:00:00;209.52000000
S;SUL;2021-01-01 03:00:00;209.52000000
NE;NORDESTE;2021-01-01 03:30:00;227.38000000
N;NORTE;2021-01-01 03:30:00;187.20000000
SE;SUDESTE;2021-01-01 03:30:00;207.86000000
S;SUL;2021-01-01 03:30:00;207.86000000
NE;NORDESTE;2021-01-01 04:00:00;227.32000000
N;NORTE;2021-01-01 04:00:00;202.67000000
SE;SUDESTE;2021-01-01 04:00:00;207.78000000
S;SUL;2021-01-01 04:00:00;207.78000000
NE;NORDESTE;2021-01-01 04:30:00;225.96000000
N;NORTE;2021-01-01 04:30:00;186.14000000
SE;SUDESTE;2021-01-01 04:30:00;206.40000000
S;SUL;2021-01-01 04:30:00;206.40000000
NE;NORDESTE;2021-01-01 05:00:00;201.89000000
N;NORTE;2021-01-01 05:00:00;182.46000000
SE;SUDESTE;2021-01-01 05:00:00;201.89000000
S;SUL;2021-01-01 05:00:00;201.89000000
NE;NORDESTE;2021-01-01 05:30:00;231.58000000
N;NORTE;2021-01-01 05:30:00;178.33000000
SE;SUDESTE;2021-01-01 05:30:00;196.91000000
S;SUL;2021-01-01 05:30:00;196.91000000
